City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Chapais,CA,49.7834,-74.8492,-15.21,99,84,3.47,broken clouds
245,Bogorodskoye,RU,56.55,37.8833,4.26,98,88,8.41,overcast clouds
246,Chumikan,RU,54.7183,135.315,-1.1,78,100,12.95,overcast clouds
247,Lahaina,US,20.8783,-156.6825,87.04,81,7,6.15,clear sky
248,Kalush,UA,49.0119,24.3731,30.88,79,65,11.54,broken clouds
249,Orocue,CO,4.7912,-71.3354,86.43,41,96,5.21,overcast clouds
250,Nemuro,JP,43.3236,145.575,23.43,71,81,17.72,broken clouds
251,Matay,EG,28.419,30.7792,50.13,67,0,4.92,clear sky
252,Altay,CN,47.8667,88.1167,7.18,48,0,9.86,clear sky
253,Del Rio,US,29.3627,-100.8968,55.51,26,0,10.36,clear sky
254,Kasongo-Lunda,CD,-6.4667,16.8167,68.79,98,99,1.01,light rain
255,Meulaboh,ID,4.1363,96.1285,76.01,83,96,4.52,overcast clouds
256,Maltahohe,NA,-24.8333,16.9833,78.26,34,85,12.5,overcast clouds
257,Seddon,AU,-37.8068,144.8916,79.21,55,20,1.99,few clouds
258,Curuguaty,PY,-24.4694,-55.6945,70.59,97,99,0.94,overcast clouds
259,Letlhakane,BW,-21.4167,25.5833,71.1,58,54,14.65,broken clouds
260,Erenhot,CN,43.6475,111.9767,2.37,88,5,7.56,clear sky
261,Manavalakurichi,IN,8.1333,77.3,78.89,85,71,10.69,broken clouds
262,Poya,NC,-21.35,165.15,85.35,69,68,6.69,broken clouds
263,Paita,PE,-5.0892,-81.1144,71.67,83,8,14.43,clear sky
264,Broken Hill,AU,-31.95,141.4333,76.87,33,3,17.36,clear sky
265,Quatre Cocos,MU,-20.2078,57.7625,79.09,81,100,16.58,light rain
266,Peniche,PT,39.3558,-9.3811,53.74,84,0,11.95,clear sky
267,Kyabe,TD,9.4515,18.9449,74.34,19,56,6.33,broken clouds
268,Chokurdakh,RU,70.6333,147.9167,-32.08,100,100,1.92,overcast clouds
269,Ust-Nera,RU,64.5667,143.2,-22.11,67,11,2.33,few clouds
270,Lubao,PH,14.9167,120.55,80.15,71,94,13.69,overcast clouds
271,Padang,ID,-0.9492,100.3543,74.01,93,100,3.36,overcast clouds
272,Mende,FR,44.6667,3.5,22.95,93,5,3.29,clear sky
273,Bang Khla,TH,13.7214,101.2081,77.49,66,47,8.5,scattered clouds
274,Haines Junction,CA,60.7522,-137.5108,28.99,95,100,3.67,overcast clouds
